Year,Club,Overall,Potential,IntReputation,Age,SkillMoves,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,DefOverall,MidOverall,AttOverall
2016,1. FC Heidenheim 1846,68.54545454545455,72.0,1.0,25.454545454545453,2.7,67.2,67.2,69.42857142857143,67.72727272727273,68.33333333333333,69.875,64.5,67.0,66.4,68.4,78.375,81.625,76.5,68.18181818181819,75.4,69.7,79.875,83.1,80.375,64.4,72.625,69.0,64.8,62.7,63.2,65.4,70.14285714285714,68.14285714285714,70.2,66.8,70.33333333333333
2016,1. FC Kaiserslautern,68.72727272727273,69.63636363636364,1.0909090909090908,29.0,3.1,68.6,67.4,68.28571428571429,67.54545454545455,68.0,69.125,74.75,74.66666666666667,68.0,68.5,80.875,79.625,79.1,67.63636363636364,79.1,72.1,79.25,78.7,83.875,67.0,69.5,65.33333333333333,66.7,65.4,64.2,63.9,67.28571428571429,65.57142857142857,71.0,64.8,67.0
2016,1. FC Köln,74.0909090909091,78.36363636363636,1.2727272727272727,25.363636363636363,3.3,74.2,74.6,75.0,73.0909090909091,72.33333333333333,76.0,75.0,75.0,72.2,75.7,80.625,80.625,76.9,75.36363636363636,75.1,74.7,75.125,81.5,81.875,72.8,75.125,77.66666666666667,71.1,70.7,67.4,72.8,76.14285714285714,73.42857142857143,76.4,72.8,74.33333333333333
2016,1. FC Magdeburg,67.54545454545455,70.63636363636364,1.0,25.09090909090909,3.3,65.8,67.4,66.0,67.9090909090909,65.33333333333333,72.125,70.25,66.33333333333333,67.4,70.5,80.125,80.625,84.4,64.0,84.9,65.5,76.875,76.4,76.625,66.0,72.625,67.16666666666667,62.5,64.7,61.8,66.0,68.57142857142857,65.57142857142857,69.2,65.0,67.66666666666667
2016,1. FC Nürnberg,68.81818181818181,71.36363636363636,1.0,26.90909090909091,3.0,70.8,70.4,69.28571428571429,69.27272727272727,66.0,71.875,75.25,71.0,68.6,70.7,79.875,78.75,78.8,68.72727272727273,79.6,70.8,79.625,81.0,77.0,66.8,70.5,69.83333333333333,68.3,67.1,65.8,69.3,70.71428571428571,69.57142857142857,71.2,72.0,68.66666666666667
2016,1. FC Saarbrücken,65.36363636363636,66.81818181818181,1.0,28.818181818181817,2.8,66.0,66.0,65.14285714285714,66.27272727272727,65.0,67.125,69.0,66.66666666666667,65.2,66.5,79.375,76.5,76.5,66.63636363636364,78.5,68.6,77.625,81.1,79.125,65.0,72.5,63.833333333333336,63.8,66.1,62.8,66.5,64.28571428571429,63.42857142857143,66.0,66.2,66.0
2016,1. FC Union Berlin,74.4,76.8,1.5,27.0,3.1,77.4,75.6,78.57142857142857,72.9090909090909,73.0,75.875,75.25,69.33333333333333,72.2,75.3,82.125,81.875,77.8,74.27272727272727,75.0,76.7,81.875,82.1,81.375,74.6,78.375,76.33333333333333,72.2,68.9,65.6,70.8,77.28571428571429,74.71428571428571,75.4,72.2,74.33333333333333
2016,1. FSV Mainz 05,75.45454545454545,78.0909090909091,1.4545454545454546,26.363636363636363,3.3,74.0,73.2,76.0,74.9090909090909,71.33333333333333,78.875,74.0,68.33333333333333,73.2,77.3,78.375,81.375,77.3,75.18181818181819,74.8,75.9,79.5,83.0,81.75,73.4,78.0,78.16666666666667,72.5,72.5,65.2,72.4,76.85714285714286,73.42857142857143,76.4,74.5,74.33333333333333
2016,9 de Octubre,65.9090909090909,67.27272727272727,1.0,28.90909090909091,3.0,62.6,61.2,65.57142857142857,63.36363636363637,60.0,64.875,60.0,65.66666666666667,62.6,63.8,74.625,75.75,65.4,64.0,68.9,61.7,72.5,70.8,73.5,64.0,64.0,64.66666666666667,61.6,60.3,66.6,60.9,66.71428571428571,63.857142857142854,66.2,63.2,65.66666666666667
2016,AC Ajaccio,71.0,73.27272727272727,1.1818181818181819,29.09090909090909,3.1,71.0,72.4,72.28571428571429,71.54545454545455,71.66666666666667,72.625,73.5,72.0,71.0,71.5,76.0,76.875,79.9,69.63636363636364,78.1,71.6,79.875,76.2,80.125,71.8,71.875,68.83333333333333,68.7,67.6,71.4,69.7,69.42857142857143,67.71428571428571,72.0,69.6,71.33333333333333
